stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
117,-0.114934,51.49288,0.000621381,0.000330659,8.93209E-05,0.000958481
118,-0.135478,51.495827,0.000316058,0.000631687,0.000609787,0.000163397
119,-0.090847,51.525893,0.0013046,0.001478518,0.001220861,0.000889344
120,-0.09308,51.515735,0.00017263,0.000969432,0.000991118,0.000141496
121,-0.156166,51.518913,0.000222873,0.000776619,0.001133044,0.000567703
122,-0.078869,51.521113,0.000460131,0.001215064,0.001301594,0.000299311
123,-0.104724,51.52836,0.000440807,0.000424059,0.000303176,0.000561476
124,-0.150905,51.496544,0.000518319,0.00058853,0.00053206,0.000469364
125,-0.094524,51.500694,0.000539575,0.000646503,0.000634479,0.000452402
126,-0.096496,51.517821,0.000427065,0.002557239,0.00246255,0.000287931
127,-0.093885,51.517008,0.000222443,0.001011086,0.001032558,0.000271398
128,-0.185296,51.495362,0.000458628,0.000319279,0.000237473,0.000427065
129,-0.137043,51.511897,0.000683433,0.001215279,0.000990259,0.000261736
130,-0.075459,51.509506,0.001381467,0.001813256,0.001278834,0.000570709
131,-0.136792,51.533005,0.00049878,0.000309832,0.000105854,0.000364584
132,-0.074754,51.523648,0.002284123,0.002057171,0.001598328,0.001301594
133,-0.191462,51.501364,0.001320918,0.001655012,0.001010013,0.000416544
134,-0.06797,51.504904,0.000504792,0.000294372,9.12533E-05,0.000387773
135,-0.104708,51.52326,0.00107185,0.001640197,0.001632467,0.000836524
136,-0.097441,51.511961,0.000561047,0.00192319,0.001989321,0.000232105
138,-0.157436,51.512276,0.000854345,0.001103198,0.000626534,0.000383908
139,-0.117974,51.494881,0.000326794,0.000559114,0.000388632,0.000355136
140,-0.085634,51.520962,0.000889129,0.001909663,0.002131462,0.000757939
141,-0.147203,51.515308,0.000541937,0.001547656,0.001271319,0.000125393
142,-0.198286,51.493724,0.000549882,0.000345904,0.000129043,0.000561905
143,-0.161203,51.496886,0.000428354,0.000955475,0.000794655,0.000206984
144,-0.111435,51.48894,0.001334874,0.000436083,0.000212137,0.001456617
145,-0.202759,51.500743,0.000155453,0.00017585,7.55792E-05,9.66211E-05
146,-0.129361,51.488365,0.000422986,0.000371884,0.000170483,0.000208487
148,-0.138364,51.492111,0.000761804,0.000527981,0.000356425,0.000632332
149,-0.110683,51.484788,0.000609787,0.000264098,0.000173059,0.000658527
150,-0.168917,51.497056,0.000492338,0.000776834,0.00070877,0.000249282
151,-0.201554,51.512136,0.000424274,0.000294372,0.000191739,0.00041955
152,-0.101536,51.49217,0.000768031,0.000350627,0.000189592,0.000844254
153,-0.174411,51.511933,0.001232671,0.000913606,0.000263883,0.000763522
154,-0.112824,51.503791,0.013555513,0.00097115,0.000621166,0.013466622
155,-0.191933,51.495866,0.000781987,0.000473873,0.000213211,0.000581015
156,-0.092921,51.494436,0.000734106,0.000350842,0.000193028,0.000700181
157,-0.193068,51.500397,0.000849836,0.001234818,0.001064979,0.000520895
158,-0.19617,51.490853,0.000434366,0.000384981,0.000372958,0.000397864
159,-0.137841,51.514619,0.00102311,0.002406295,0.002025608,0.000174347
160,-0.131773,51.506633,0.00071564,0.001192305,0.000982529,0.000211493
