Product Category,Units,Week Ending,Geography,Type,ASP
PLU 4770,0,1/2/2022,South Central,Organic,1.441908141
Bulk GTIN,25596.36,1/2/2022,South Central,Organic,1.441908141
Bagged,98411.88,1/2/2022,South Central,Organic,1.441908141
PLU 4046,14637.41,1/2/2022,South Central,Organic,1.441908141
PLU 4225,7011.84,1/23/2022,Southeast,Organic,1.099615818
PLU 4770,37.3,1/23/2022,Southeast,Organic,1.099615818
Bulk GTIN,69746.82,1/23/2022,Southeast,Organic,1.099615818
Bagged,449892.2,1/23/2022,Southeast,Organic,1.099615818
PLU 4046,3810.14,1/23/2022,Southeast,Organic,1.099615818
PLU 4225,8429.38,1/16/2022,Southeast,Organic,1.109043051
PLU 4770,25.08,1/16/2022,Southeast,Organic,1.109043051
Bulk GTIN,81916.26,1/16/2022,Southeast,Organic,1.109043051
Bagged,448122.64,1/16/2022,Southeast,Organic,1.109043051
PLU 4046,2187.8,1/16/2022,Southeast,Organic,1.109043051
PLU 4225,7338.27,1/9/2022,Southeast,Organic,1.065466257
PLU 4770,50.21,1/9/2022,Southeast,Organic,1.065466257
Bulk GTIN,103526.11,1/9/2022,Southeast,Organic,1.065466257
Bagged,458597.13,1/9/2022,Southeast,Organic,1.065466257
PLU 4046,2023.68,1/9/2022,Southeast,Organic,1.065466257
PLU 4225,6576.38,1/2/2022,Southeast,Organic,1.099630888
PLU 4770,11.1,1/2/2022,Southeast,Organic,1.099630888
Bulk GTIN,122946.75,1/2/2022,Southeast,Organic,1.099630888
Bagged,375870.58,1/2/2022,Southeast,Organic,1.099630888
PLU 4046,1810.4,1/2/2022,Southeast,Organic,1.099630888
PLU 4225,21219.14,1/23/2022,West,Organic,1.729660512
PLU 4770,32.32,1/23/2022,West,Organic,1.729660512
Bulk GTIN,190982.01,1/23/2022,West,Organic,1.729660512
Bagged,132411.56,1/23/2022,West,Organic,1.729660512
PLU 4046,18270.62,1/23/2022,West,Organic,1.729660512
PLU 4225,20849.49,1/16/2022,West,Organic,1.92317573
PLU 4770,11.69,1/16/2022,West,Organic,1.92317573
Bulk GTIN,157082.39,1/16/2022,West,Organic,1.92317573
Bagged,109983.35,1/16/2022,West,Organic,1.92317573
PLU 4046,23701.56,1/16/2022,West,Organic,1.92317573
PLU 4225,23865.07,1/9/2022,West,Organic,1.782967949
PLU 4770,187.53,1/9/2022,West,Organic,1.782967949
Bulk GTIN,244040.98,1/9/2022,West,Organic,1.782967949
Bagged,106025.71,1/9/2022,West,Organic,1.782967949
PLU 4046,22760.4,1/9/2022,West,Organic,1.782967949
PLU 4225,21390.03,1/2/2022,West,Organic,1.803923195
PLU 4770,79.64,1/2/2022,West,Organic,1.803923195
Bulk GTIN,235114.95,1/2/2022,West,Organic,1.803923195
Bagged,91372.47,1/2/2022,West,Organic,1.803923195
PLU 4046,20580.38,1/2/2022,West,Organic,1.803923195
PLU 4225,442717.5,2/20/2022,California,Conventional,1.403706194
PLU 4770,199747.41,2/20/2022,California,Conventional,1.403706194
Bulk GTIN,2531038.34,2/20/2022,California,Conventional,1.403706194
Bagged,1435679.09,2/20/2022,California,Conventional,1.403706194
PLU 4046,1423224.65,2/20/2022,California,Conventional,1.403706194
PLU 4225,768988.82,2/13/2022,California,Conventional,1.260999731
PLU 4770,251589.31,2/13/2022,California,Conventional,1.260999731
Bulk GTIN,3072817.46,2/13/2022,California,Conventional,1.260999731
Bagged,2409800.72,2/13/2022,California,Conventional,1.260999731
PLU 4046,1710552.29,2/13/2022,California,Conventional,1.260999731
